zip,dollars,timestamp,date,city,state,latitude,longitude
15221,25,"",2014-05-01,Pittsburgh,PA,40.4346,-79.8655
10022,100,"",2014-05-01,New York,NY,40.7571,-73.9657
38120,100,"",2014-05-01,memphis,TN,35.1207,-89.8651
93065,500,"",2014-05-01,Simi Valley,CA,34.2656,-118.7653
33432,25,"",2014-05-01,Boca Raton,FL,26.3462,-80.0844
94060,250,"",2014-05-01,Pescadero,CA,37.2065,-122.3649
75093,50,"",2014-05-01,Plano,TX,33.0299,-96.7889
12210,100,"",2014-05-01,Albany,NY,42.6568,-73.7605
34285,10,"",2014-05-01,Venice,FL,27.0933,-82.4498
22610,10,"",2014-05-01,Bentonville,VA,38.8187,-78.2757
00000,100,"",2014-05-01,0,DC,"",""
09227,50,"",2014-05-01,APO,AE,"",""
12457,15,"",2014-05-01,Mount Tremper,NY,42.0435,-74.2485
60305,100,"",2014-05-01,River Forest,IL,41.8951,-87.8159
02139,50,"",2014-05-01,Cambridge,MA,42.3647,-71.1042
17331,10,"",2014-05-01,Hanover,PA,39.7943,-76.9812
84093,10,"",2014-05-01,Sandy,UT,40.5927,-111.831
11933,5,"",2014-05-01,Calverton,NY,40.9297,-72.7423
13323,2,"",2014-05-01,Clinton,NY,43.0586,-75.3808
49274,50,"",2014-05-01,Reading,MI,41.8442,-84.7648
60201,100,"",2014-05-01,Evanston,IL,42.0546,-87.6943
93252,20,"",2014-05-01,Maricopa,CA,35.0384,-119.4077
70508,500,"",2014-05-01,Lafayette,LA,30.1582,-92.0236
32128,100,"",2014-05-01,Port Orange,FL,29.0838,-81.0336
32038,200,"",2014-05-01,Fort White,FL,29.9207,-82.6879
52240,50,"",2014-05-01,Iowa City,IA,41.6355,-91.5016
55408,100,"",2014-05-01,Minneapolis,MN,44.9466,-93.2862
42602,100,"",2014-05-01,Albany,KY,36.6857,-85.1407
53129,100,"",2014-05-01,Greendale,WI,42.9373,-87.9943
60304,20,"",2014-05-01,Oak Park,IL,41.8725,-87.7877
07506,50,"",2014-05-01,Hawthorne,NJ,40.9564,-74.1569
12912,100,"",2014-05-01,Au Sable Forks,NY,44.4499,-73.6857
02138,10,"",2014-05-01,cambridge,MA,42.377,-71.1256
07024,100,"",2014-05-01,Fort Lee,NJ,40.8503,-73.9745
58103,5,"",2014-05-01,Fargo,ND,46.8564,-96.8123
11222,100,"",2014-05-01,Brooklyn,NY,40.7272,-73.9498
04101,10,"",2014-05-01,Portland,ME,43.6606,-70.2589
